procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 2564796 129540 941504    0    0     0  6000 1397 1369  2  6 91  0
 1  0      0 2556364 129564 949204    0    0     0  6000 1647 1320  1  7 92  0
 0  0      0 2556248 129592 949428    0    0     0  6252 1505 1355  3  6 91  0
 0  1      0 2555388 129620 949444    0    0     0  5204 1421 1231  3  5 90  3
 0  0      0 2555744 129648 949436    0    0     0  7004 1947 1394  3  6 89  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0      0 2565964 129184 937400    0    0   883 17054  181  307  2  4 88  5
 0  1      0 2555536 129212 949572    0    0     8  6128 1224 1367  3  6 90  1
 1  0      0 2566348 129228 939856    0    0     0  6004 1533 1430  3  6 87  4
 0  0      0 2555420 129240 949580    0    0     0  6000 1517 1343  4  6 90  0
 0  0      0 2555700 129252 949780    0    0     0  6000 1422 1318  3  5 91  0
 0  0      0 2556676 129264 949504    0    0     0  6000 1387 1311  2  7 91  0
 1  1      0 2559404 129288 944664    0    0     4  6144 1331 1211  3  5 88  4
 1  0      0 2556204 129304 949500    0    0     0  6000 1322 1438  5  5 89  1
 1  0      0 2563728 129316 941408    0    0     0  6000 1582 1198  5  5 91  0
 1  0      0 2564504 129328 941024    0    0     0  6000 1387 1348  3  6 91  0
 1  0      0 2564024 129340 942456    0    0     0  6000 1393 1277  5  7 88  0
 0  1      0 2554832 129360 949444    0    0     0  5128 1397 1204  4  4 90  2
 1  0      0 2564032 129372 941528    0    0     0  7004 1602 1464  2  6 89  3
 0  0      0 2556072 129388 949424    0    0     0  6000 1401 1292  4  5 90  0
 0  0      0 2556336 129400 949380    0    0     0  6132 1644 1328  3  5 92  0
 0  0      0 2556196 129412 949592    0    0     0  6000 1455 1282  3  6 91  0
 0  1      0 2555244 129432 949688    0    0     0  5144 1191 1178  4  5 88  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 2566020 129184 937332    0    0   823 17536  193  306  2  4 88  5
 1  0      0 2554632 129208 949584    0    0     8  5136 1223 1365  3  5 86  5
 0  0      0 2554700 129212 949364    0    0     0  6000 1449 1262  3  5 92  0
 1  0      0 2554840 129220 949428    0    0     0  6000 1412 1322  4  5 91  0
 1  0      0 2566272 129228 938304    0    0     0  7000 1743 1242  3  7 90  0
 0  0      0 2554676 129236 949516    0    0     0  6000 1488 1415  4  6 90  0
 0  0      0 2554916 129252 949424    0    0     4  5116 1281 1146  3  5 87  5
 0  0      0 2555040 129260 949528    0    0     0  6000 1403 1341  4  6 89  0
 0  0      0 2556164 129264 949532    0    0     0  7000 1488 1283  3  7 90  0
 1  0      0 2556164 129272 949420    0    0     0  6000 1508 1379  3  6 91  0
 1  0      0 2556164 129276 949432    0    0     0  6000 1477 1275  5  4 91  0
 0  0      0 2556336 129292 949540    0    0     0  5100 1117 1159  4  5 86  5
 0  0      0 2555816 129296 949544    0    0     0  7000 1562 1282  4  6 90  0
 2  0      0 2555056 129304 949632    0    0     0  6000 1314 1399  3  7 90  0
 0  0      0 2556412 129312 949192    0    0     0  6072 1316 1269  3  6 91  0
 1  0      0 2555800 129320 949572    0    0     0  6000 1286 1282  4  4 92  0
 1  1      0 2563412 129332 941476    0    0     0  6120 1390 1144  3  6 86  5
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2566368 129184 937380    0    0   771 17967  202  305  2  5 88  5
 0  1      0 2554468 129204 949540    0    0     8  5132 1067 1268  4  4 89  3
 0  0      0 2555172 129204 949652    0    0     0  7004 1493 1400  3  5 90  2
 0  0      0 2554668 129204 949660    0    0     0  6000 1438 1256  3  6 91  0
 1  0      0 2566076 129204 938472    0    0     0  7000 1683 1368  4  6 91  0
 0  0      0 2555180 129204 949552    0    0     0  6000 1305 1290  3  6 91  0
 0  1      0 2561264 129216 943764    0    0     4  6056 1373 1263  4  5 89  2
 0  0      0 2554924 129216 949404    0    0     0  6004 1264 1251  3  5 89  3
 1  0      0 2566340 129216 938308    0    0     0  7000 1533 1342  4  7 90  0
 1  0      0 2555288 129216 949352    0    0     0  6000 1322 1279  2  6 91  0
 0  0      0 2555056 129216 949532    0    0     0  6000 1410 1284  4  5 91  0
 2  1      0 2566628 129224 938392    0    0     0  6064 1643 1188  3  5 88  4
 0  0      0 2555296 129224 949484    0    0     0  6000 1411 1354  5  5 89  1
 0  0      0 2555180 129224 949544    0    0     0  6000 1420 1244  3  6 91  0
 0  0      0 2555320 129224 949544    0    0     0  7024 1743 1258  3  6 91  0
 0  0      0 2555064 129224 949692    0    0     0  6000 1557 1345  4  6 90  0
 0  1      0 2554460 129232 949548    0    0     0  5048 1209 1179  2  5 91  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2566640 129188 937396    0    0   726 18361  211  304  2  5 88  6
 1  1      0 2551420 129224 952236    0    0     8 20144  881 1321  5  4 87  5
 1  0      0 2549460 129248 952624    0    0     0 20004 1203 1338  6  5 89  0
 0  0      0 2551716 129276 952404    0    0     4 24000 1217 1340  6  6 89  0
 1  0      0 2559124 129304 945748    0    0     0 24000 1139 1329  5  5 90  0
 1  0      0 2548104 129324 952580    0    0     0 24000  915 1270  4  5 91  0
 0  1      0 2548252 129356 952516    0    0     4 16184  812 1178  3  6 87  3
 0  0      0 2551212 129384 952464    0    0     0 24004 1078 1350  4  5 89  2
 2  0      0 2551460 129408 952532    0    0     0 24000  954 1291  5  5 90  0
 1  0      0 2561868 129432 941520    0    0     0 24000 1175 1253  4  4 91  0
 1  0      0 2550716 129456 952636    0    0     0 20000  867 1267  6  4 90  0
 0  1      0 2548048 129488 952412    0    0     4 20200 1055 1247  4  5 88  3
 2  0      0 2551684 129512 952524    0    0     0 24004 1353 1351  5  5 87  3
 0  0      0 2551552 129540 952628    0    0     0 24000 1037 1309  5  6 89  0
 0  0      0 2552444 129564 952540    0    0     0 24244 1111 1192  6  5 89  0
 0  0      0 2552040 129584 952320    0    0     0 20000  995 1294  6  5 89  0
 1  1      0 2551948 129616 952448    0    0     0 20192 1117 1205  4  5 86  5
 1  0      0 2553380 129644 950412    0    0     4 24000 1046 1265  4  4 91  1
 2  0      0 2561240 129676 941376    0    0     4 24000 1014 1228  5  4 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2563360 129188 937268    0    0   682 18821  215  304  2  5 87  6
 1  1      0 2548096 129216 952592    0    0     8 20132  957 1264  4  4 88  5
 1  0      0 2545600 129228 952484    0    0     0 20000  899 1325  4  6 90  0
 1  0      0 2547700 129240 952540    0    0     0 24000 1002 1274  6  5 89  0
 0  0      0 2547840 129252 952320    0    0     0 24000  953 1274  6  5 89  0
 0  0      0 2547964 129264 952652    0    0     0 24000  955 1297  6  6 88  0
 0  1      0 2546956 129288 952660    0    0     4 24132  964 1229  6  4 88  2
 0  0      0 2546988 129300 952372    0    0     0 20004 1036 1309  5  5 87  3
 0  0      0 2546996 129316 952684    0    0     0 24000 1077 1351  5  5 90  0
 0  0      0 2546964 129328 952656    0    0     0 24000  947 1280  6  4 90  0
 0  0      0 2546776 129340 952812    0    0     0 24000  985 1327  6  3 91  0
 0  1      0 2543996 129356 952532    0    0     0 20136  872 1205  4  5 88  3
 0  0      0 2546848 129380 952644    0    0     8 24004 1265 1340  4  5 88  2
 0  0      0 2547104 129392 952652    0    0     0 24000 1194 1287  7  5 88  0
 1  0      0 2546848 129404 952320    0    0     0 24128  999 1328  5  6 89  0
 1  0      0 2552296 129416 948040    0    0     0 24000  981 1250  6  5 89  0
 0  1      0 2543468 129432 952640    0    0     0 16136  790 1152  5  4 89  2
 0  0      0 2547436 129444 952552    0    0     0 24004 1174 1278  5  4 86  5
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
